AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
STORME V;2;158;1;57;2;storme v;1,85557894736835e+03;4,66157001678165e-05;2,71451046365191e-04;NA
SUANEZ S;2;115;0;0;24;suanez s;1,10679744084749e+02;6,65734638173224e-05;1,90656271487839e-04;c05
SYVITSKI JPM;2;253;0;0;61;syvitski jpm;2,96700000000000e+03;5,75672097173450e-05;2,10537151595454e-04;c07
TABBENER HE;2;158;0;0;1;tabbener he;1,85557894736835e+03;4,66157001678165e-05;2,71451046365173e-04;NA
TABOADA S;2;56;0;0;0;taboada s;5,00000000000000e-01;6,36456211812627e-05;1,53675254380991e-04;c06
TENA A;2;28;1;15;12;tena a;1,19293040293040e+01;7,83514847606362e-05;1,47485442118107e-04;c01
THEVENET A;2;47;0;0;14;thevenet a;1,01645305438028e+04;7,33837234901299e-05;1,90232194599021e-04;c09
THIEBAULT S;2;48;0;0;4;thiebault s;0,00000000000000e+00;6,65513110608279e-05;1,80239952218851e-04;c07
THIERY A;2;42;0;0;1;thiery a;8,08054017846017e+03;7,18132854578097e-05;3,02272343296877e-04;NA
THIERY D;2;18;1;5;1;thiery d;2,96700000000000e+03;6,38284291823578e-05;3,19688997396203e-04;NA
TIMONER P;2;5;0;0;1;timoner p;6,79700683804049e+03;6,93673695893452e-05;3,25529349177272e-04;c01
TOUCANNE S;2;20;0;0;2;toucanne s;1,43526792595723e+04;6,77414984419455e-05;3,30327257912418e-04;NA
TOURMENT R;2;6;0;0;0;tourment r;1,00000000000000e+01;1,42857142857143e-01;3,51895824086414e-04;NA
TOURNIEUX D;2;13;0;0;0;tournieux d;0,00000000000000e+00;6,88989940746865e-05;1,93019481312492e-04;c05
TOUZANI A;2;41;1;12;11;touzani a;8,38095238095238e+00;6,50279620236702e-05;2,04428146527378e-04;NA
TREMOLIERES M;2;65;1;30;15;tremolieres m;6,10183942204973e+03;5,66059096569682e-05;2,75852956865543e-04;c01
TRICART P;2;10;0;0;1;tricart p;5,92600000000000e+03;5,35647329798061e-05;3,50093721349821e-04;NA
VALENSI P;2;164;0;0;2;valensi p;8,89500000000000e+03;4,34650323814491e-05;2,12086536348747e-04;NA
VALLET-COULOMB C;2;27;1;2;3;vallet-coulomb c;1,48300000000000e+03;7,36811081638668e-05;1,68566832603571e-04;NA
VANEK V;2;103;0;0;6;vanek v;1,54247675527087e+01;7,45934656124124e-05;1,32165172009365e-04;c01
VANHAM D;2;50;2;50;3;vanham d;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
VASSAS C;2;29;2;29;5;vassas c;1,49785267619230e+02;6,69478476266988e-05;1,93496228641670e-04;c05
VAZQUEZ-TARRIO D;2;26;2;26;16;vazquez-tarrio d;1,90453193864959e+01;7,42997250910172e-05;1,26896395927807e-04;c05
VENISSEAU A;2;12;0;0;1;venisseau a;6,96239488035980e+03;8,28912466843501e-05;2,21176156085036e-04;c07
VIDAL O;2;63;0;0;0;vidal o;8,89500000000000e+03;7,23222680263253e-05;2,70972912767579e-04;c01
VIDEAU C;2;24;1;17;16;videau c;0,00000000000000e+00;6,37917836182700e-05;1,67595287049011e-04;c03
VIDONDO B;2;23;0;0;0;vidondo b;3,00000000000000e+00;1,25000000000000e-01;2,94586874129641e-04;NA
VOLKMAN JK;2;29;0;0;15;volkman jk;0,00000000000000e+00;7,57920266787934e-05;1,84516572469246e-04;NA
VOLLAIRE Y;2;43;0;0;2;vollaire y;1,61591975569430e+02;6,49097754121771e-05;2,35255344385611e-04;NA
VOLLANT A;2;0;0;0;0;vollant a;1,31826797090840e+02;5,95308965353018e-05;2,39739946386326e-04;c08
VON BLANCKENBURG F;2;47;0;0;5;von blanckenburg f;4,00000000000000e+00;2,00000000000000e-01;3,13339654165973e-04;NA
VORNAM B;2;158;0;0;0;vornam b;1,85557894736835e+03;4,66157001678165e-05;2,71451046365155e-04;NA
WATTIER R;2;89;0;0;0;wattier r;5,93200000000000e+03;5,24356352577212e-05;3,24972770508251e-04;c01
WITSCHI T;2;1;1;1;1;witschi t;0,00000000000000e+00;5,68504832291074e-05;1,02986171466345e-04;c07
WORSFOLD PJ;2;56;0;0;0;worsfold pj;0,00000000000000e+00;3,33333333333333e-01;2,27515755466113e-04;NA
WRIGHT LD;2;261;1;154;25;wright ld;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
ZAPPA M;2;42;0;0;5;zappa m;1,48150000000000e+04;5,34102440848155e-05;3,42694476796114e-04;c10
ZIN I;2;6;0;0;0;zin i;0,00000000000000e+00;4,64597658427802e-05;1,69541099356614e-04;c11
ZOBRIST J;2;38;1;11;3;zobrist j;0,00000000000000e+00;3,57142857142857e-02;1,34809532720994e-04;NA
[ANONYMOUS] A;1;0;1;0;NA;[anonymous] a;0,00000000000000e+00;NA;3,41273633200992e-05;NA
AARTS BGW;1;188;1;188;12;aarts bgw;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ABASSI A;1;142;0;0;5;abassi a;0,00000000000000e+00;7,89016884961338e-05;1,64176692618405e-04;c02
ABBASPOUR K;1;104;0;0;5;abbaspour k;0,00000000000000e+00;5,72672087962433e-05;1,78584625556559e-04;c01
ABBO A;1;0;0;0;1;abbo a;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ABBOUDI M;1;22;0;0;1;abboudi m;0,00000000000000e+00;6,97301443413988e-05;1,22302093567350e-04;c03
ABCHICHE A;1;14;0;0;0;abchiche a;0,00000000000000e+00;7,21552781585973e-05;2,04977776730950e-04;c06
ACHERKI N;1;17;0;0;3;acherki n;0,00000000000000e+00;5,97978831549363e-05;1,65098862040447e-04;NA
ADAM C;1;11;0;0;2;adam c;0,00000000000000e+00;6,01106035104592e-05;1,31025326474479e-04;c02
ADAM M;1;2;1;2;1;adam m;0,00000000000000e+00;6,73083395032645e-05;1,58581433317451e-04;c08
AHO T;1;13;0;0;0;aho t;0,00000000000000e+00;5,12715340442986e-05;1,67574043610181e-04;c09
AKCAR N;1;23;0;0;1;akcar n;0,00000000000000e+00;5,23615038223898e-05;2,50009829612034e-04;c10
AKOPIAN M;1;4;0;0;0;akopian m;0,00000000000000e+00;6,19463544570402e-05;1,31787546120394e-04;c01
AKSAMIT CK;1;9;1;9;0;aksamit ck;0,00000000000000e+00;3,48869662294167e-05;1,94788435028288e-04;c10
AL HOUSARI F;1;21;1;21;7;al housari f;0,00000000000000e+00;5,60600964233658e-05;8,42264748582092e-05;NA
ALAIN G;1;15;0;0;1;alain g;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ALBA AF;1;135;0;0;0;alba af;0,00000000000000e+00;5,79642939948991e-05;9,24689791360712e-05;NA
ALBO-PUIGSERVER E;1;27;0;0;0;albo-puigserver e;0,00000000000000e+00;1,66666666666667e-01;2,27515755466251e-04;NA
ALBRECHT A;1;38;1;38;3;albrecht a;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
ALCOVER JA;1;60;1;60;1;alcover ja;0,00000000000000e+00;NA;3,41273633200992e-05;NA
ALEKSEENKO E;1;6;1;6;4;alekseenko e;5,92600000000000e+03;6,93337031130833e-05;2,83717553012372e-04;NA
ALEXANDRINO P;1;9;0;0;7;alexandrino p;0,00000000000000e+00;5,33504054630815e-05;1,53981150588774e-04;c04
ALEXANDRINO R;1;6;0;0;0;alexandrino r;0,00000000000000e+00;6,31592244047243e-05;1,59447590485019e-04;c04
ALFARO C;1;2;0;0;0;alfaro c;0,00000000000000e+00;6,61944793804197e-05;1,33184671353206e-04;c11
ALFRED VS;1;1;0;0;0;alfred vs;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ALIBERT C;1;27;0;0;0;alibert c;0,00000000000000e+00;7,18545663576920e-05;1,49469107540693e-04;c07
ALIOSI JC;1;17;0;0;0;aliosi jc;0,00000000000000e+00;5,97978831549363e-05;1,65098862040409e-04;NA
ALKAN A;1;13;0;0;0;alkan a;0,00000000000000e+00;6,07865783235062e-05;1,56388686991622e-04;c03
ALKAN N;1;13;1;13;0;alkan n;0,00000000000000e+00;6,07865783235062e-05;1,56388686991585e-04;c03
ALLANNIC H;1;33;0;0;0;allannic h;0,00000000000000e+00;6,06281071904935e-05;2,33037346311636e-04;c11
ALLARD P;1;0;0;0;3;allard p;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
ALLEMAN LY;1;30;1;30;1;alleman ly;0,00000000000000e+00;6,82733665597051e-05;1,16715601056881e-04;c02
ALLIOT C;1;33;0;0;0;alliot c;0,00000000000000e+00;5,32396315817495e-05;7,72831475970473e-05;c04
ALLOUCHE A;1;1;1;1;0;allouche a;0,00000000000000e+00;8,33333333333333e-02;1,33665340053035e-04;NA
ALLUE E;1;22;0;0;0;allue e;0,00000000000000e+00;4,98678501969780e-05;2,71644417302374e-04;NA
ALONSO Y;1;21;0;0;0;alonso y;0,00000000000000e+00;6,85635927322592e-05;1,47817361404014e-04;NA
ALTERMATT F;1;122;1;122;1;altermatt f;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ALTERO C;1;90;0;0;0;altero c;0,00000000000000e+00;7,09270161004327e-05;1,70584563095360e-04;c06
AMACHER R;1;0;0;0;1;amacher r;0,00000000000000e+00;4,52673034267349e-05;2,09797195502269e-04;NA
AMADO MEV;1;5;1;5;0;amado mev;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
AMBROSI D;1;0;0;0;0;ambrosi d;0,00000000000000e+00;7,74233508826262e-05;1,77133802939387e-04;c08
AMINI A;1;0;0;0;1;amini a;0,00000000000000e+00;3,99249411107119e-05;1,40828187729058e-04;NA
AMINOT Y;1;86;0;0;1;aminot y;0,00000000000000e+00;6,06722485135299e-05;1,30668516629492e-04;c03
AMIRAUX R;1;16;0;0;2;amiraux r;0,00000000000000e+00;7,79241019247253e-05;1,33097413822682e-04;NA
AMOS CL;1;73;0;0;6;amos cl;1,60530292497255e+03;7,21344586308880e-05;2,37348772860452e-04;c02
AMOUROUX JC;1;20;0;0;0;amouroux jc;0,00000000000000e+00;6,07164541590771e-05;1,18426032698403e-04;c06
AMOUROUX R;1;50;0;0;0;amouroux r;0,00000000000000e+00;6,36375206821942e-05;1,10638595903859e-04;c06
AMRAOUI E;1;13;0;0;0;amraoui e;0,00000000000000e+00;6,38243553740107e-05;2,78995430767303e-04;NA
AMRAOUI N;1;5;0;0;0;amraoui n;0,00000000000000e+00;5,36653429215413e-05;4,92237881970978e-05;NA
ANAGNOSTOU E;1;5;0;0;0;anagnostou e;0,00000000000000e+00;1,66666666666667e-01;2,27515755466251e-04;NA
ANAGNOSTOU EN;1;0;0;0;0;anagnostou en;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ANDO S;1;73;0;0;0;ando s;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
ANDRE G;1;1;1;1;14;andre g;0,00000000000000e+00;6,19770684846607e-05;1,09244828558323e-04;c03
ANDREE KB;1;4;0;0;1;andree kb;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
ANDRIES E;1;2;0;0;2;andries e;0,00000000000000e+00;7,20149791156561e-05;1,48138553450715e-04;c08
ANGELIBERT S;1;13;1;13;2;angelibert s;0,00000000000000e+00;4,91062659595364e-05;1,85889890256498e-04;c01
ANGELICI FM;1;16;0;0;0;angelici fm;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ANGELINI F;1;4;0;0;0;angelini f;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
ANGHILERI D;1;14;0;0;0;anghileri d;0,00000000000000e+00;4,98280930788779e-05;7,77528802421148e-05;c10
ANGLADA R;1;1;1;1;1;anglada r;0,00000000000000e+00;6,50956906652780e-05;1,75625620431209e-04;c06
ANGOT C;1;10;0;0;0;angot c;0,00000000000000e+00;7,31314904197748e-05;1,18131176126821e-04;c08
ANGOT H;1;28;0;0;0;angot h;0,00000000000000e+00;7,57002271006813e-05;1,47506895840509e-04;c08
ANGST B;1;39;0;0;0;angst b;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
ANGST C;1;5;0;0;2;angst c;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ANNABELLE C;1;2;0;0;0;annabelle c;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ANNEVILLE O;1;27;0;0;5;anneville o;0,00000000000000e+00;5,92487261523877e-05;2,23534544943529e-04;NA
ANQUETIN S;1;2;0;0;1;anquetin s;0,00000000000000e+00;6,02445930477740e-05;9,73378494418605e-05;c01
ANSCHUTZ P;1;90;0;0;7;anschutz p;2,30170337280412e+03;7,13368526180625e-05;2,61352687224043e-04;c06
ANSELMETTI F;1;22;0;0;10;anselmetti f;0,00000000000000e+00;4,61872430834603e-05;2,06526585751042e-04;c10
ANSELMETTI FS;1;2;0;0;10;anselmetti fs;5,80036521925543e+03;4,87662147664098e-05;2,84010329840848e-04;c10
ANTHONY E;1;7;0;0;18;anthony e;0,00000000000000e+00;6,51423360041691e-05;5,63540272726106e-05;c05
ANTOINE P;1;51;1;51;7;antoine p;0,00000000000000e+00;4,37502734392090e-05;1,84326859842945e-04;c05
ANTON MP;1;24;0;0;1;anton mp;0,00000000000000e+00;6,86907542244814e-05;1,23564088551096e-04;c06
ANTONELLI A;1;11;0;0;0;antonelli a;0,00000000000000e+00;7,22438953908395e-05;1,06937080641092e-04;c05
AOUADENE A;1;26;1;26;0;aouadene a;0,00000000000000e+00;6,80503572643756e-05;1,52985064323226e-04;NA
AOUJI O;1;14;0;0;0;aouji o;0,00000000000000e+00;7,21552781585973e-05;2,04977776730913e-04;c06
AOUL KT;1;1;0;0;0;aoul kt;0,00000000000000e+00;6,33312222925903e-05;8,80443632084306e-05;c04
AOULAD Z;1;0;0;0;0;aoulad z;0,00000000000000e+00;5,40131792157286e-05;1,53586849158148e-04;c02
APGAR G;1;0;1;0;1;apgar g;0,00000000000000e+00;NA;3,41273633200992e-05;NA
APRAHAMIAN JL;1;9;0;0;0;aprahamian jl;0,00000000000000e+00;5,33504054630815e-05;1,53981150588739e-04;c04
ARAGUAS RM;1;12;0;0;2;araguas rm;0,00000000000000e+00;5,95521676989042e-05;1,37813652751962e-04;c01
ARCHAMBAUD G;1;4;0;0;1;archambaud g;0,00000000000000e+00;6,18965090368903e-05;1,40696719624765e-04;c01
ARCHAMBAUD-SUARD G;1;1;0;0;0;archambaud-suard g;0,00000000000000e+00;5,07975210809712e-05;2,26510797005420e-04;c09
ARCHAMBAUD-SUARD R;1;2;0;0;0;archambaud-suard r;0,00000000000000e+00;5,07897810960435e-05;1,47925418452581e-04;c09
ARDISSON G;1;4;0;0;0;ardisson g;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
ARENS P;1;101;0;0;2;arens p;0,00000000000000e+00;4,10004100041000e-05;2,12885139440093e-04;NA
AREVALO E;1;10;1;10;0;arevalo e;0,00000000000000e+00;6,36699350566662e-05;1,70052669938677e-04;c04
AREY BW;1;2;0;0;0;arey bw;0,00000000000000e+00;4,86570650058388e-05;1,44597107186664e-04;c10
ARGILLIER C;1;56;0;0;1;argillier c;0,00000000000000e+00;6,04448742746615e-05;1,61836020367303e-04;c09
ARLETTAZ R;1;5;1;5;0;arlettaz r;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
ARLHAC R;1;17;0;0;0;arlhac r;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ARMANI G;1;18;0;0;1;armani g;0,00000000000000e+00;6,65070497472732e-05;5,09390050325210e-05;c01
ARMENGAUD A;1;9;0;0;1;armengaud a;0,00000000000000e+00;7,48951467944877e-05;1,99094804646428e-04;c03
ARMENGAUD C;1;1;0;0;0;armengaud c;0,00000000000000e+00;6,97495989398061e-05;1,36764295323475e-04;c03
ARNAUD Fa;1;0;1;0;0;arnaud fa;2,98541363052159e+03;7,86782061369001e-05;2,42271314441315e-04;c01
ARNAUD-FASSETTA L;1;11;0;0;0;arnaud-fassetta l;0,00000000000000e+00;5,88235294117647e-02;2,17541786770688e-04;NA
ARPAGAUS P;1;22;0;0;0;arpagaus p;0,00000000000000e+00;4,61872430834603e-05;2,06526585751000e-04;c10
ARTHAUD G;1;11;0;0;0;arthaud g;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
ASHTON AD;1;35;0;0;1;ashton ad;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
ASIOLI A;1;14;0;0;0;asioli a;0,00000000000000e+00;5,18403317781234e-05;1,47222530460822e-04;NA
ATA R;1;6;0;0;4;ata r;0,00000000000000e+00;9,09090909090909e-02;2,27515755466177e-04;NA
AUBERT J;1;13;0;0;7;aubert j;0,00000000000000e+00;4,50633139561083e-05;1,60659179813422e-04;NA
AUBIN D;1;9;1;9;2;aubin d;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
AUCLAIR C;1;132;0;0;0;auclair c;0,00000000000000e+00;6,88515560451666e-05;1,02813681547954e-04;c02
AUDA Y;1;10;0;0;3;auda y;0,00000000000000e+00;6,28259094050386e-05;1,20640792797240e-04;c01
AUDIN L;1;41;0;0;0;audin l;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
AUGER PA;1;33;1;33;14;auger pa;7,56318719850686e+02;7,28385170077937e-05;2,16628607213461e-04;c02
AUGUSTE P;1;2;0;0;3;auguste p;0,00000000000000e+00;6,19501920455953e-05;2,00946157168215e-04;NA
AURELIEN BH;1;15;1;15;0;aurelien bh;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
AURELLE CF;1;17;0;0;0;aurelle cf;0,00000000000000e+00;6,96718456071901e-05;1,69492690834168e-04;c02
AVIGAD D;1;0;1;0;1;avigad d;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
AYRAULT S;1;10;0;0;2;ayrault s;8,84747453876485e+03;7,98658254133057e-05;4,38743398276412e-04;c07
AZEMA A;1;4;1;4;1;azema a;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
AZOURY S;1;62;0;0;1;azoury s;0,00000000000000e+00;7,29607471180505e-05;1,94869910339147e-04;c06
AZZOUG M;1;60;0;0;1;azzoug m;0,00000000000000e+00;6,83900971139379e-05;9,66600326534810e-05;NA
BABINOT JF;1;1;0;0;0;babinot jf;0,00000000000000e+00;6,50956906652780e-05;1,75625620431176e-04;c06
BACELA K;1;26;0;0;0;bacela k;0,00000000000000e+00;4,53782275264328e-05;1,27979726253979e-04;c01
BACHE F;1;29;0;0;3;bache f;0,00000000000000e+00;5,56792873051225e-05;2,06972314154532e-04;NA
BACHELOT I;1;33;0;0;0;bachelot i;0,00000000000000e+00;6,06281071904935e-05;2,33037346311593e-04;c11
BADEL G;1;8;0;0;0;badel g;0,00000000000000e+00;2,00000000000000e-01;2,13192995783870e-04;NA
BADIE C;1;2;1;2;4;badie c;0,00000000000000e+00;4,82509047044632e-05;1,18921784836771e-04;c04
BADOT PM;1;15;0;0;0;badot pm;0,00000000000000e+00;7,02691307708524e-05;1,19780365100396e-04;c07
BADY P;1;89;0;0;13;bady p;1,37233522596447e+03;6,84790796411696e-05;3,22216216577519e-04;c01
BAGLI S;1;10;0;0;0;bagli s;0,00000000000000e+00;1,66666666666667e-01;2,27515755466251e-04;NA
BAILLET L;1;20;0;0;1;baillet l;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
BAIZE S;1;41;0;0;1;baize s;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
BAKKER M;1;33;0;0;3;bakker m;0,00000000000000e+00;5,02714659159461e-05;2,13701588835010e-04;c10
BAKLOUTI M;1;6;0;0;15;baklouti m;5,92600000000000e+03;6,93337031130833e-05;2,83717553012332e-04;NA
BAL B;1;0;0;0;183;bal b;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BALARESQUE P;1;13;0;0;0;balaresque p;0,00000000000000e+00;5,12715340442986e-05;1,67574043610145e-04;c09
BALENGHIEN T;1;39;1;39;2;balenghien t;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
BALESTRIERI ML;1;8;0;0;1;balestrieri ml;0,00000000000000e+00;1,42857142857143e-01;2,27515755466229e-04;NA
BALLAGH FEA;1;5;1;5;3;ballagh fea;0,00000000000000e+00;6,29762579507526e-05;1,44610282702088e-04;c06
BALLESTRA S;1;4;0;0;5;ballestra s;0,00000000000000e+00;2,50000000000000e-01;2,27515755466251e-04;NA
BALTIERI L;1;8;0;0;0;baltieri l;0,00000000000000e+00;6,29921259842520e-05;2,45661575161473e-04;c04
BALVAY G;1;4;0;0;2;balvay g;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BANCON-MONTIGNY C;1;8;0;0;0;bancon-montigny c;0,00000000000000e+00;7,69230769230769e-02;2,02402722171215e-04;NA
BANOS PAEZ P;1;0;0;0;0;banos paez p;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BANOS-GONZALEZ I;1;0;0;0;0;banos-gonzalez i;0,00000000000000e+00;5,00000000000000e-01;2,27515755465995e-04;NA
BANQUE X;1;0;1;0;0;banque x;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
BARAKAT M;1;78;0;0;0;barakat m;0,00000000000000e+00;7,69230769230769e-02;2,27515755466162e-04;NA
BARBIER JM;1;5;0;0;1;barbier jm;0,00000000000000e+00;1,11111111111111e-01;2,23464204782527e-04;NA
BARBIERI G;1;1;0;0;4;barbieri g;2,97100000000000e+03;5,02537815970652e-05;3,30133845366461e-04;c05
BARBRAUD C;1;12;1;12;2;barbraud c;0,00000000000000e+00;4,76190476190476e-02;6,26515268148314e-05;NA
BARCENA MA;1;54;0;0;2;barcena ma;0,00000000000000e+00;6,69882100750268e-05;1,24085560174947e-04;NA
BARCHIESI MC;1;37;0;0;0;barchiesi mc;0,00000000000000e+00;1,11111111111111e-01;2,40179907907503e-04;NA
BARCIFUNEL G;1;4;1;4;0;barcifunel g;0,00000000000000e+00;2,50000000000000e-01;2,27515755466179e-04;NA
BARD E;1;93;0;0;29;bard e;0,00000000000000e+00;7,33299112708074e-05;2,49814043737440e-04;c01
BARDIN JP;1;12;1;12;1;bardin jp;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BARDIN O;1;20;1;20;4;bardin o;0,00000000000000e+00;6,78702321161938e-05;5,75308263071629e-05;c04
BARENDREGT RW;1;8;0;0;0;barendregt rw;0,00000000000000e+00;5,35532587157929e-05;2,18888519070488e-04;NA
BARILLON B;1;0;1;0;1;barillon b;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
BARKER E;1;12;0;0;1;barker e;0,00000000000000e+00;6,61331922491899e-05;1,35070401654197e-04;c05
BARLOW RG;1;67;1;67;3;barlow rg;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BAROUX E;1;84;0;0;1;baroux e;0,00000000000000e+00;6,70825786543235e-05;2,04116222562493e-04;NA
BARRAT MH;1;65;0;0;1;barrat mh;0,00000000000000e+00;6,66488936283658e-05;1,19948216114891e-04;c01
BARRAUD S;1;12;0;0;1;barraud s;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BARRY S;1;1;0;0;0;barry s;0,00000000000000e+00;5,54661933551500e-05;2,20773859538171e-04;NA
BARSOUM N;1;24;0;0;2;barsoum n;0,00000000000000e+00;6,33191920471095e-05;2,23092295358428e-04;c01
BARTH A;1;1;0;0;2;barth a;0,00000000000000e+00;1,00000000000000e+00;2,27515755466343e-04;NA
BASSETTI R;1;11;0;0;0;bassetti r;0,00000000000000e+00;6,89037414731620e-05;1,66432006633231e-04;c06
BAST H;1;12;0;0;0;bast h;0,00000000000000e+00;3,33333333333333e-01;2,27515755466207e-04;NA
BASTER W;1;29;0;0;0;baster w;0,00000000000000e+00;4,38692695766615e-05;1,25568681573843e-04;c10
BATAILLER N;1;107;0;0;0;batailler n;5,27958637398015e+03;6,74399784192069e-05;2,84298915563146e-04;c03
BATISTA C;1;31;0;0;0;batista c;0,00000000000000e+00;6,82360968952576e-05;1,52035588256141e-04;c02
BATTENTIER J;1;11;1;11;1;battentier j;0,00000000000000e+00;6,64451827242525e-05;1,84916507325277e-04;c07
BATTY J;1;22;1;22;0;batty j;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BAUME JP;1;2;0;0;1;baume jp;0,00000000000000e+00;1,66666666666667e-01;1,93587967370509e-04;NA
BAUMGARTNER I;1;46;0;0;0;baumgartner i;0,00000000000000e+00;5,00000000000000e-01;2,27515755466131e-04;NA
BAUMIER D;1;39;0;0;0;baumier d;0,00000000000000e+00;5,52944429084877e-05;1,22631586485770e-04;c02
BAUTISTA-VEGA AA;1;37;1;37;2;bautista-vega aa;0,00000000000000e+00;5,93014291644429e-05;9,98420240559960e-05;c04
BAUVAIS S;1;1;0;0;0;bauvais s;0,00000000000000e+00;1,66666666666667e-01;2,27515755466251e-04;NA
BAUX Y;1;0;0;0;0;baux y;0,00000000000000e+00;5,95273528186202e-05;2,14592971887396e-04;c08
BAYLE P;1;16;0;0;0;bayle p;0,00000000000000e+00;3,33333333333333e-01;2,27515755466293e-04;NA
BAYON G;1;34;0;0;3;bayon g;0,00000000000000e+00;6,41395676993137e-05;1,37514817889244e-04;c06
BAZIN C;1;28;0;0;0;bazin c;0,00000000000000e+00;6,83246788740093e-05;1,56548621876243e-04;c01
BEAREZ P;1;22;0;0;0;bearez p;0,00000000000000e+00;4,98678501969780e-05;2,71644417302336e-04;NA
BEAUCHAMP H;1;1;1;1;2;beauchamp h;0,00000000000000e+00;2,00000000000000e-01;2,27515755466221e-04;NA
BEAUDOUIN X;1;14;0;0;0;beaudouin x;0,00000000000000e+00;7,19269222469970e-05;1,19787063479123e-04;c05
BEAUGELINSEILLER K;1;16;1;16;0;beaugelinseiller k;0,00000000000000e+00;4,43301711144605e-05;1,46871460882213e-04;c02
BEAUGER M;1;2;0;0;0;beauger m;0,00000000000000e+00;7,01606679295587e-05;2,69146768105969e-04;c07
BECHE Q;1;1;0;0;0;beche q;0,00000000000000e+00;7,32869182850861e-05;1,51612506276885e-04;c01
BECHET A;1;34;1;34;0;bechet a;0,00000000000000e+00;1,00000000000000e+00;2,27515755466169e-04;NA
BECK JF;1;58;0;0;0;beck jf;0,00000000000000e+00;6,83060109289617e-05;1,20492926163114e-04;c07
BECK JP;1;52;0;0;4;beck jp;0,00000000000000e+00;6,54150585464774e-05;1,22322004592936e-04;c07
BECK N;1;4;0;0;3;beck n;0,00000000000000e+00;2,50000000000000e-01;2,27515755466317e-04;NA
BECK P;1;0;1;0;3;beck p;0,00000000000000e+00;NA;3,41273633200992e-05;NA
BECK T;1;14;0;0;1;beck t;0,00000000000000e+00;2,00000000000000e-01;2,27515755466279e-04;NA
BECKER KW;1;3;0;0;2;becker kw;0,00000000000000e+00;4,49943757030371e-05;1,48886655298845e-04;NA
BECKER M;1;14;0;0;3;becker m;0,00000000000000e+00;6,34276290752252e-05;1,88433322815642e-04;c07
BEDOS A;1;5;0;0;0;bedos a;0,00000000000000e+00;3,33333333333333e-01;2,27515755466373e-04;NA
BEECHING A;1;22;0;0;5;beeching a;0,00000000000000e+00;6,65513110608279e-05;1,80239952218812e-04;c07
BEETSCHEN C;1;1;0;0;0;beetschen c;0,00000000000000e+00;2,00000000000000e-01;2,27515755466161e-04;NA
BEGUIN O;1;21;0;0;0;beguin o;0,00000000000000e+00;7,52615338300595e-05;2,12763355997835e-04;c01
